frequency, n1, n2, n3, n4, n5, n6 
1, 1,32,37,63,67,69
1, 15,25,50,64,80,89
1, 27,33,44,56,63,85
1, 12,26,70,74,84,87
1, 24,26,43,71,79,80
1, 3,6,34,49,79,83
1, 22,25,55,58,82,85
1, 25,39,74,76,85,88
1, 8,19,30,32,52,75
1, 2,12,17,60,63,78
1, 4,18,24,29,41,59
1, 15,16,17,57,60,63
1, 14,32,47,48,63,79
1, 1,47,66,67,78,90
1, 32,34,37,49,52,68
1, 32,38,55,58,66,85
1, 8,9,23,34,64,89
1, 6,35,53,67,75,89
1, 32,35,57,74,79,84
1, 1,30,60,70,74,77
1, 1,3,4,60,70,73
1, 19,30,52,66,70,82
1, 4,47,53,55,71,73
1, 3,8,13,28,50,61
1, 22,62,68,73,75,87
1, 19,33,45,55,82,84
1, 25,35,52,55,60,68
1, 6,26,56,65,69,82
1, 2,25,26,41,55,75
1, 1,5,32,49,69,72
1, 10,17,41,45,69,78
1, 7,25,30,44,47,68
1, 17,20,38,51,53,74
1, 1,4,32,35,36,87
1, 28,38,59,60,71,83
1, 6,44,66,68,77,86
1, 9,11,33,69,73,82
1, 12,30,35,44,49,62
1, 6,20,27,31,32,36
1, 1,41,48,49,84,87
1, 3,15,31,36,43,82
1, 11,13,25,62,76,80
1, 27,38,70,75,78,82
1, 10,21,40,46,79,84
1, 45,50,65,67,78,79
1, 10,30,57,64,72,75
1, 3,11,43,50,85,88
1, 2,20,21,40,45,65
1, 4,33,67,71,81,82
1, 15,33,45,60,72,85
1, 15,18,21,57,59,61
1, 1,27,33,36,43,86
1, 5,15,66,67,82,84
1, 5,19,40,51,85,87
1, 54,58,72,73,82,86
1, 23,30,32,41,48,64
1, 10,18,26,39,62,68
1, 32,34,40,45,65,71
1, 6,18,34,43,58,80
1, 1,8,26,41,70,84
1, 15,27,30,34,75,80
1, 2,10,19,36,78,90
1, 7,20,25,51,65,87
1, 10,22,34,43,62,68
1, 19,30,32,39,47,71
1, 28,29,30,39,75,87
1, 25,51,53,72,77,81
1, 23,32,34,72,80,83
1, 7,36,38,63,73,90
1, 5,23,35,54,56,62
1, 16,20,43,77,78,84
1, 38,50,63,65,84,88
1, 7,58,61,62,73,74
1, 10,19,20,39,85,87
1, 6,27,50,57,77,80
1, 21,37,41,45,60,71
1, 2,3,10,15,31,61
1, 13,16,25,45,47,55
1, 17,34,35,56,65,85
1, 31,63,64,68,69,71
1, 22,42,50,53,78,83
1, 2,40,47,54,66,83
1, 30,54,66,67,76,90
1, 34,36,44,50,71,80
1, 3,6,7,30,67,89
1, 8,21,25,54,84,85
1, 29,40,52,59,71,84
1, 4,13,15,20,32,41
1, 6,9,21,24,30,47
1, 8,27,34,42,83,88
1, 2,28,43,57,79,90
1, 15,36,49,62,75,82
1, 8,10,15,42,48,51
1, 14,43,46,65,71,82
1, 9,14,33,38,46,87
1, 14,17,56,59,69,88
1, 3,6,12,13,19,67
1, 13,15,36,78,82,86
1, 34,43,44,45,53,58
1, 44,50,57,81,83,90
1, 13,19,60,61,83,90
1, 4,7,25,74,82,87
1, 2,6,11,62,70,71
1, 8,10,39,60,77,84
1, 15,25,31,39,82,88
1, 10,25,34,79,85,86
1, 19,22,31,38,87,89
1, 2,38,47,50,55,79
1, 18,20,46,54,57,65
1, 3,4,16,36,74,89
1, 25,33,37,47,48,79
1, 16,24,37,38,69,78
1, 18,21,28,35,41,85
1, 2,12,16,20,24,79
1, 3,22,31,42,73,88
1, 9,19,21,50,61,82
1, 35,44,57,58,87,88
1, 12,35,75,76,82,84
1, 17,20,22,40,52,62
1, 6,27,42,49,82,86
1, 1,6,60,61,69,86
1, 30,37,47,72,85,87
1, 7,29,36,50,56,75
1, 3,33,62,69,75,79
1, 9,17,67,68,80,81
1, 17,44,49,60,66,81
1, 9,26,29,31,58,70
1, 8,43,53,69,74,79
1, 1,10,17,31,58,80
1, 27,33,40,52,76,86
1, 17,21,40,55,64,79
1, 18,26,29,78,79,80
1, 31,39,55,58,85,87
1, 10,14,15,34,75,88
1, 7,41,48,54,72,88
1, 31,42,49,51,68,79
1, 4,36,41,49,56,82
1, 8,49,50,65,66,69
1, 13,59,63,75,85,87
1, 13,22,40,41,51,86
1, 11,18,30,59,76,77
1, 18,37,49,71,76,78
1, 8,22,28,36,74,85
1, 2,4,12,40,50,80
1, 49,54,55,62,66,88
1, 13,15,19,21,82,86
1, 15,18,28,49,51,77
1, 6,39,40,41,50,54
1, 15,20,36,69,74,87
1, 41,43,52,59,73,82
1, 14,62,69,70,86,88
1, 8,19,25,73,76,84
1, 11,18,55,77,81,85
1, 8,17,35,61,78,89
1, 14,16,21,24,62,78
1, 5,8,11,47,56,63
1, 11,14,17,24,39,48
1, 15,43,45,66,74,87
1, 12,35,40,59,78,80
1, 27,32,33,52,73,84
1, 34,63,70,77,83,90
1, 4,10,29,41,54,74
1, 1,17,31,39,49,71
1, 7,9,12,37,86,90
1, 1,19,20,56,60,83
1, 1,20,44,56,59,69
1, 16,37,48,68,84,90
1, 13,19,35,38,52,64
1, 9,15,19,38,48,77
1, 4,12,13,55,73,86
1, 27,35,41,46,49,86
1, 28,31,48,56,72,78
1, 25,33,41,51,66,76
1, 2,21,24,27,42,68
1, 6,27,34,55,62,87
1, 11,13,27,47,82,84
1, 1,25,60,67,87,88
1, 4,11,16,25,34,59
1, 5,13,56,65,78,82
1, 1,13,17,29,54,63
1, 29,34,37,55,62,78
1, 14,21,27,49,82,83
1, 2,7,16,26,34,80
1, 28,29,33,35,65,80
1, 9,30,50,57,62,70
1, 5,16,33,48,57,87
1, 2,27,36,39,53,79
1, 3,31,45,48,71,76
1, 17,42,52,71,74,90
1, 18,21,58,65,89,90
1, 1,12,21,31,39,49
1, 7,31,38,57,84,87
1, 16,21,24,60,66,79
1, 8,44,47,60,66,77
1, 1,2,4,44,75,80
1, 13,22,36,64,80,84
1, 33,37,41,56,65,82
1, 3,6,44,60,84,86
1, 8,27,29,38,64,82
1, 8,31,33,38,66,77
1, 14,16,24,30,34,72
1, 8,12,26,44,48,50
1, 8,25,33,48,58,90
1, 21,22,52,59,65,76
1, 13,30,60,67,84,86
1, 24,51,58,61,74,77
1, 4,10,24,59,72,83
1, 10,22,27,34,56,85
1, 12,14,27,35,73,88
1, 10,15,46,51,65,75
1, 16,26,30,52,57,83
1, 18,26,44,51,63,90
1, 3,37,40,49,53,83
1, 8,17,51,60,63,79
1, 6,44,63,64,72,82
1, 4,15,39,41,49,68
1, 1,8,26,33,47,70
1, 26,27,39,55,59,63
1, 8,38,47,63,71,84
1, 19,30,34,49,54,74
1, 36,37,50,57,73,83
1, 30,36,39,68,71,80
1, 6,37,53,60,66,72
1, 1,4,48,53,61,85
1, 17,21,23,51,65,87
1, 22,26,51,63,64,73
1, 13,27,46,68,79,83
1, 26,29,40,50,54,72
1, 14,23,29,44,48,74
1, 7,8,25,46,65,78
1, 19,21,38,45,51,69
1, 10,17,51,54,62,65
1, 7,24,40,56,79,85
1, 43,71,80,84,88,89
1, 11,20,50,62,70,85
1, 2,3,35,41,48,88
1, 2,5,28,36,69,81
1, 21,25,31,44,49,52
1, 1,15,16,23,24,52
1, 7,19,39,42,56,57
1, 33,46,53,58,73,85
1, 3,31,33,37,52,54
1, 19,33,35,42,49,83
1, 12,26,45,75,82,84
1, 19,21,36,55,77,87
1, 9,33,34,52,82,83
1, 1,61,66,70,78,81
1, 3,42,52,67,78,86
1, 3,28,37,42,67,86
1, 7,13,16,42,67,68
1, 5,27,36,40,46,64
1, 11,19,26,58,67,89
1, 4,35,41,66,77,89
1, 8,29,38,53,77,80
1, 20,21,63,71,75,79
1, 3,34,62,63,72,73
1, 17,41,45,81,82,88
1, 10,11,43,54,61,83
1, 26,51,52,54,70,88
1, 3,8,21,33,46,86
1, 7,17,30,56,68,80
1, 6,15,18,23,53,62
1, 11,24,34,39,68,86
1, 40,60,68,72,84,89
1, 17,41,44,57,73,86
1, 16,37,42,46,60,64
1, 17,20,21,39,44,89
1, 25,28,34,44,57,80
1, 12,16,24,48,53,58
1, 33,57,63,65,78,88
1, 28,36,42,70,74,78
1, 11,19,37,41,62,77
1, 11,29,39,41,43,55
1, 30,46,54,56,72,86
1, 11,31,44,64,83,89
1, 6,8,49,60,72,74
1, 16,22,36,40,62,75
1, 1,13,24,26,29,77
1, 22,26,29,37,75,76
1, 2,23,46,48,55,63
1, 12,15,33,60,79,88
1, 25,34,38,69,83,86
1, 4,24,29,31,39,71
1, 40,43,46,57,77,82
1, 5,30,36,63,84,85
1, 18,30,40,64,88,89
1, 14,26,47,63,78,80
1, 20,23,42,70,80,90
1, 29,37,42,52,54,59
1, 7,10,35,64,77,89
1, 12,26,34,42,48,63
1, 11,33,59,68,84,85
1, 24,33,54,69,79,86
1, 25,31,43,61,63,86
1, 5,9,50,80,82,88
1, 5,21,23,41,74,84
1, 15,25,26,33,41,62
1, 4,11,29,34,86,88
1, 3,17,33,51,77,87
1, 5,36,51,55,69,79
1, 12,19,38,43,52,85
1, 1,10,23,40,68,75
1, 2,25,28,31,46,59
1, 16,23,55,83,86,89
1, 20,29,39,54,57,71
1, 7,18,27,33,35,43
1, 1,26,49,74,82,87
1, 6,14,39,47,63,82
1, 42,64,79,84,87,89
1, 9,16,31,43,49,83
1, 15,22,38,62,83,86
1, 6,34,43,60,71,73
1, 16,26,31,67,74,82
1, 39,52,69,70,74,82
1, 11,20,48,52,70,74
1, 16,21,59,70,71,83
1, 23,44,46,59,74,80
1, 12,34,35,50,63,88
1, 10,11,21,54,73,82
1, 3,4,13,16,59,70
1, 13,54,56,67,82,90
1, 28,46,65,70,77,86
1, 4,5,11,26,34,36
1, 5,31,57,66,81,85
1, 9,19,68,70,71,81
1, 1,8,40,54,69,81
1, 8,29,33,47,52,56
1, 3,9,35,65,80,84
1, 6,29,56,72,82,83
1, 8,16,41,52,64,74
1, 16,51,57,64,72,90
1, 38,44,46,55,67,85
1, 7,15,33,40,51,64
1, 12,24,53,66,74,83
1, 7,32,43,50,68,73
1, 4,6,25,32,73,83
1, 3,34,37,55,82,90
1, 3,49,68,73,76,80
1, 4,19,51,57,66,89
1, 6,7,37,67,80,87
1, 2,3,38,42,56,74
1, 3,7,12,20,48,55
1, 6,9,21,69,77,78
1, 11,18,37,52,62,77
1, 28,37,52,57,64,66
1, 3,14,49,52,65,81
1, 5,13,22,25,43,50
1, 14,18,32,33,46,88
1, 38,39,46,58,66,83
1, 11,49,53,65,77,89
1, 10,11,46,80,83,88
1, 1,21,30,61,73,84
1, 25,32,36,46,57,58
1, 20,35,45,47,72,78
1, 21,40,57,60,61,68
1, 1,10,26,62,71,90
1, 3,12,25,33,59,85
1, 17,20,63,78,82,85
1, 2,11,15,39,84,87
1, 34,54,72,76,79,85
1, 16,17,26,28,37,85
1, 6,31,69,70,76,85
1, 18,21,28,62,84,90
1, 13,21,24,39,44,60
1, 20,67,71,81,84,88
1, 9,12,20,55,69,81
1, 7,14,21,47,58,71
1, 21,35,51,68,81,90
1, 21,22,34,55,56,74
1, 7,9,31,41,67,68
1, 1,16,18,43,47,78
1, 3,5,11,34,43,49
1, 20,48,50,58,65,78
1, 6,9,37,67,83,88
1, 30,32,49,68,71,85
1, 1,33,41,78,83,84
1, 11,14,15,30,68,81
1, 1,36,42,71,72,88
1, 26,60,61,72,85,88
1, 24,25,33,42,57,89
1, 9,11,39,44,49,86
1, 1,26,45,58,66,88
1, 34,36,47,64,73,78
1, 5,28,48,53,75,88
1, 3,10,28,71,81,88
1, 22,38,46,47,77,86
1, 42,70,74,78,82,87
1, 8,22,31,39,58,63
1, 15,35,45,69,82,84
1, 13,16,45,58,63,72
1, 3,6,7,53,65,90
1, 10,17,18,25,45,84
1, 6,50,67,69,77,88
1, 12,23,52,69,75,85
1, 2,15,63,65,68,78
1, 1,2,5,27,39,49
1, 6,10,38,48,49,65
1, 4,14,15,19,76,85
1, 9,28,33,38,50,55
1, 18,24,45,58,62,80
1, 38,46,63,82,83,87
1, 8,19,23,37,65,77
1, 35,49,68,71,82,85
1, 2,4,11,37,62,75
1, 15,37,43,51,61,89
1, 1,7,10,23,66,88
1, 4,13,19,30,53,81
1, 14,18,48,52,64,75
1, 17,31,42,43,55,72
1, 13,28,39,45,68,81
1, 16,45,51,58,60,71
1, 2,13,22,53,60,85
1, 2,11,23,31,40,86
1, 34,42,58,60,82,83
1, 2,4,13,23,28,68
1, 2,28,37,56,77,79
1, 4,22,27,45,58,86
1, 10,13,50,59,64,78
1, 5,7,68,71,75,85
1, 15,25,26,53,74,76
1, 10,41,53,62,65,76
1, 5,14,48,52,57,90
1, 26,36,56,68,73,81
1, 3,47,63,66,67,69
1, 1,4,12,14,66,78
1, 5,7,20,38,57,85
1, 52,62,65,77,87,90
1, 2,29,36,72,82,90
1, 10,21,43,47,58,85
1, 12,22,27,37,52,87
1, 13,22,31,54,55,87
1, 13,64,68,84,89,90
1, 9,33,36,54,60,86
1, 2,7,12,31,38,71
1, 6,18,20,34,72,90
1, 15,37,46,52,64,89
1, 5,6,29,43,66,74
1, 29,30,61,65,73,81
1, 30,38,46,47,62,67
1, 3,7,17,26,55,72
1, 38,50,58,80,85,90
1, 10,12,38,57,72,84
1, 3,14,35,63,73,80
1, 2,6,7,51,57,71
1, 6,35,38,48,58,76
1, 7,14,26,34,45,77
1, 12,27,38,43,65,67
1, 19,48,61,73,81,83
1, 14,17,23,45,87,88
1, 18,21,76,79,80,84
1, 21,28,56,63,68,88
1, 8,10,16,21,39,65
1, 3,23,25,44,74,89
1, 6,59,77,81,82,88
1, 4,6,61,63,65,72
1, 19,38,48,54,71,84
1, 6,28,32,39,57,85
1, 35,38,60,68,74,86
1, 14,15,54,77,80,82
1, 1,8,22,28,64,77
1, 41,47,49,55,77,90
1, 17,20,26,41,45,89
1, 8,14,30,31,35,76
1, 8,14,41,55,83,85
1, 1,4,22,24,38,46
1, 18,31,47,59,75,80
1, 12,30,36,44,54,60
1, 5,9,23,40,57,68
1, 7,18,46,74,82,90
1, 1,6,43,46,61,83
1, 13,30,47,66,74,81
1, 3,12,22,65,77,84
1, 13,24,26,34,76,77
1, 4,59,68,72,74,87
1, 15,23,35,38,69,89
1, 10,19,48,78,85,90
1, 2,13,22,37,48,90
1, 16,21,33,42,52,66
1, 12,23,46,54,78,90
1, 1,21,34,44,49,90
1, 2,3,4,27,34,42
1, 3,22,29,54,75,84
1, 15,26,29,77,81,90
1, 12,21,49,51,56,74
1, 24,35,39,48,82,85
1, 29,31,41,44,64,73
1, 6,55,61,65,78,89
1, 5,11,13,55,66,71
1, 7,23,28,50,80,87
1, 9,12,19,39,82,86
1, 3,18,19,65,81,88
1, 17,52,55,65,82,90
1, 19,32,54,59,68,86
1, 6,11,21,65,66,85
